=== Shared String - Reader-Writer Problem ===
Mode: fair
Readers: 5, Writers: 8, Duration: 8 seconds

[00:44:28.504] [R1] started
[00:44:28.504] [R1] read: "Initial string content."
[00:44:28.504] [R3] started
[00:44:28.504] [R3] read: "Initial string content."
[00:44:28.504] [R2] started
[00:44:28.504] [R2] read: "Initial string content."
[00:44:28.504] [R4] started
[00:44:28.504] [R4] read: "Initial string content."
[00:44:28.504] [R5] started
[00:44:28.504] [R5] read: "Initial string content."
[00:44:28.504] [W2] started
[00:44:28.504] [W2] wrote: "A"
[00:44:28.504] [W3] started
[00:44:28.504] [W3] wrote: "A"
[00:44:28.504] [W1] started
[00:44:28.504] [W1] wrote: "A"
[00:44:28.504] [W7] started
[00:44:28.504] [W7] wrote: "A"
[00:44:28.504] [W4] started
[00:44:28.504] [W4] wrote: "A"
[00:44:28.504] [W6] started
[00:44:28.504] [W6] wrote: "A"
[00:44:28.504] [W8] started
[00:44:28.504] [W8] wrote: "A"
[00:44:28.504] [W5] started
[00:44:28.504] [W5] wrote: "A"
[00:44:28.524] [R4] read: "A"
[00:44:28.536] [R5] read: "A"
[00:44:28.541] [R3] read: "A"
[00:44:28.545] [R1] read: "A"
[00:44:28.545] [R2] read: "A"
[00:44:28.556] [W5] wrote: "Hello World!"
[00:44:28.563] [W4] wrote: "Hello World!"
[00:44:28.568] [W3] wrote: "Hello World!"
[00:44:28.571] [R4] read: "Hello World!"
[00:44:28.571] [W8] wrote: "Hello World!"
[00:44:28.572] [R5] read: "Hello World!"
[00:44:28.575] [W7] wrote: "Hello World!"
[00:44:28.577] [R1] read: "Hello World!"
[00:44:28.578] [R3] read: "Hello World!"
[00:44:28.588] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[00:44:28.589] [W1] wrote: "Hello World!"
[00:44:28.590] [W2] wrote: "Hello World!"
[00:44:28.596] [R5] read: "Hello World!"
[00:44:28.599] [R2] read: "Hello World!"
[00:44:28.600] [W6] wrote: "Hello World!"
[00:44:28.609] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[00:44:28.626] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[00:44:28.630] [R1] read: "The quick brown fox jumps over the lazy dog."
[00:44:28.630] [R4] read: "The quick brown fox jumps over the lazy dog."
[00:44:28.636] [R3] read: "The quick brown fox jumps over the lazy dog."
[00:44:28.640] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[00:44:28.648] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[00:44:28.650] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[00:44:28.654] [R4] read: "The quick brown fox jumps over the lazy dog."
[00:44:28.655] [R5] read: "The quick brown fox jumps over the lazy dog."
[00:44:28.657] [R2] read: "The quick brown fox jumps over the lazy dog."
[00:44:28.660] [R1] read: "The quick brown fox jumps over the lazy dog."
[00:44:28.663] [R3] read: "The quick brown fox jumps over the lazy dog."
[00:44:28.664] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[00:44:28.666] [W5] wrote: "Operating systems manage hardware and software resources."
