=== Shared String - Reader-Writer Problem ===
Mode: reader_pref
Readers: 5, Writers: 8, Duration: 8 seconds

[00:43:15.825] [R1] started
[00:43:15.825] [R1] read: "Initial string content."
[00:43:15.825] [R2] started
[00:43:15.826] [R2] read: "Initial string content."
[00:43:15.826] [R5] started
[00:43:15.826] [R5] read: "Initial string content."
[00:43:15.826] [R4] started
[00:43:15.826] [R4] read: "Initial string content."
[00:43:15.826] [W1] started
[00:43:15.826] [W4] started
[00:43:15.826] [W3] started
[00:43:15.826] [R3] started
[00:43:15.826] [W1] wrote: "A"
[00:43:15.826] [W7] started
[00:43:15.826] [W5] started
[00:43:15.826] [W6] started
[00:43:15.826] [W2] started
[00:43:15.826] [W4] wrote: "A"
[00:43:15.826] [W8] started
[00:43:15.826] [W3] wrote: "A"
[00:43:15.826] [R3] read: "A"
[00:43:15.826] [W7] wrote: "A"
[00:43:15.826] [W5] wrote: "A"
[00:43:15.826] [W6] wrote: "A"
[00:43:15.826] [W2] wrote: "A"
[00:43:15.826] [W8] wrote: "A"
[00:43:15.846] [R2] read: "A"
[00:43:15.847] [R1] read: "A"
[00:43:15.847] [R4] read: "A"
[00:43:15.856] [W3] wrote: "Hello World!"
[00:43:15.861] [R3] read: "Hello World!"
[00:43:15.868] [W6] wrote: "Hello World!"
[00:43:15.868] [W7] wrote: "Hello World!"
[00:43:15.872] [R5] read: "Hello World!"
[00:43:15.874] [W8] wrote: "Hello World!"
[00:43:15.876] [W2] wrote: "Hello World!"
[00:43:15.879] [R1] read: "Hello World!"
[00:43:15.895] [W4] wrote: "Hello World!"
[00:43:15.898] [R2] read: "Hello World!"
[00:43:15.905] [R4] read: "Hello World!"
[00:43:15.905] [R3] read: "Hello World!"
[00:43:15.907] [W5] wrote: "Hello World!"
[00:43:15.918] [W1] wrote: "Hello World!"
[00:43:15.925] [R1] read: "Hello World!"
[00:43:15.926] [R5] read: "Hello World!"
[00:43:15.933] [R2] read: "Hello World!"
[00:43:15.941] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:15.944] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:15.945] [R3] read: "The quick brown fox jumps over the lazy dog."
[00:43:15.946] [R5] read: "The quick brown fox jumps over the lazy dog."
[00:43:15.947] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:15.948] [R4] read: "The quick brown fox jumps over the lazy dog."
[00:43:15.949] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:15.953] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:15.956] [R2] read: "The quick brown fox jumps over the lazy dog."
[00:43:15.959] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:15.963] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:15.965] [R1] read: "The quick brown fox jumps over the lazy dog."
[00:43:15.971] [R4] read: "The quick brown fox jumps over the lazy dog."
[00:43:15.985] [W3] wrote: "Operating systems manage hardware and software resources."
[00:43:15.986] [R5] read: "Operating systems manage hardware and software resources."
[00:43:15.989] [W8] wrote: "Operating systems manage hardware and software resources."
[00:43:15.992] [R3] read: "Operating systems manage hardware and software resources."
[00:43:15.994] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:16.004] [W5] wrote: "Operating systems manage hardware and software resources."
[00:43:16.011] [R1] read: "Operating systems manage hardware and software resources."
[00:43:16.011] [R2] read: "Operating systems manage hardware and software resources."
[00:43:16.017] [R4] read: "Operating systems manage hardware and software resources."
[00:43:16.017] [R5] read: "Operating systems manage hardware and software resources."
[00:43:16.027] [R3] read: "Operating systems manage hardware and software resources."
[00:43:16.031] [R1] read: "Operating systems manage hardware and software resources."
[00:43:16.034] [W7] wrote: "Operating systems manage hardware and software resources."
[00:43:16.040] [W4] wrote: "Operating systems manage hardware and software resources."
[00:43:16.043] [W6] wrote: "Operating systems manage hardware and software resources."
[00:43:16.047] [W3] wrote: "X"
[00:43:16.048] [W2] wrote: "Operating systems manage hardware and software resources."
[00:43:16.049] [R5] read: "Operating systems manage hardware and software resources."
[00:43:16.058] [R3] read: "Operating systems manage hardware and software resources."
[00:43:16.059] [W8] wrote: "X"
[00:43:16.064] [R1] read: "X"
[00:43:16.068] [R4] read: "X"
[00:43:16.068] [R2] read: "X"
[00:43:16.075] [W4] wrote: "X"
[00:43:16.083] [W5] wrote: "X"
[00:43:16.087] [W1] wrote: "Operating systems manage hardware and software resources."
[00:43:16.090] [R5] read: "Operating systems manage hardware and software resources."
[00:43:16.094] [R1] read: "Operating systems manage hardware and software resources."
[00:43:16.096] [R3] read: "Operating systems manage hardware and software resources."
[00:43:16.098] [R2] read: "Operating systems manage hardware and software resources."
[00:43:16.104] [W2] wrote: "X"
[00:43:16.110] [W8] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:16.116] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:16.123] [W5] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:16.127] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:16.131] [W6] wrote: "X"
[00:43:16.133] [W7] wrote: "X"
[00:43:16.136] [R3] read: "X"
[00:43:16.139] [R5] read: "X"
[00:43:16.145] [W3] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:16.147] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:16.149] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:16.152] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:16.160] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:16.171] [W1] wrote: "X"
[00:43:16.171] [W8] wrote: "Readers and writers must coordinate access to shared data."
[00:43:16.172] [W4] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:16.172] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:16.173] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:16.184] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:16.188] [W2] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:16.189] [W3] wrote: "Readers and writers must coordinate access to shared data."
[00:43:16.190] [R5] read: "Readers and writers must coordinate access to shared data."
[00:43:16.191] [R3] read: "Readers and writers must coordinate access to shared data."
[00:43:16.193] [R2] read: "Readers and writers must coordinate access to shared data."
[00:43:16.196] [W7] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:16.206] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:16.208] [W5] wrote: "Readers and writers must coordinate access to shared data."
[00:43:16.211] [W4] wrote: "Readers and writers must coordinate access to shared data."
[00:43:16.213] [R5] read: "Readers and writers must coordinate access to shared data."
[00:43:16.215] [W8] wrote: "Race!"
[00:43:16.217] [W6] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:16.222] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:16.231] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:16.235] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:16.241] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[00:43:16.247] [W8] wrote: "Mutual exclusion ensures only one writer at a time."
[00:43:16.247] [W5] wrote: "Race!"
[00:43:16.249] [W2] wrote: "Readers and writers must coordinate access to shared data."
[00:43:16.255] [R1] read: "Readers and writers must coordinate access to shared data."
[00:43:16.257] [W3] wrote: "Race!"
[00:43:16.264] [W1] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:43:16.273] [W4] wrote: "Race!"
[00:43:16.274] [W7] wrote: "Readers and writers must coordinate access to shared data."
[00:43:16.279] [R4] read: "Readers and writers must coordinate access to shared data."
[00:43:16.279] [R3] read: "Readers and writers must coordinate access to shared data."
[00:43:16.281] [R2] read: "Readers and writers must coordinate access to shared data."
[00:43:16.289] [R1] read: "Readers and writers must coordinate access to shared data."
[00:43:16.294] [W6] wrote: "Readers and writers must coordinate access to shared data."
[00:43:16.300] [R5] read: "Readers and writers must coordinate access to shared data."
[00:43:16.315] [W1] wrote: "Readers and writers must coordinate access to shared data."
[00:43:16.318] [W2] wrote: "Race!"
[00:43:16.324] [R1] read: "Race!"
[00:43:16.328] [W8] wrote: "Pthread library provides powerful threading primitives."
[00:43:16.328] [W7] wrote: "Race!"
[00:43:16.330] [R4] read: "Race!"
[00:43:16.330] [R2] read: "Race!"
[00:43:16.332] [W5] wrote: "Mutual exclusion ensures only one writer at a time."
[00:43:16.333] [R3] read: "Mutual exclusion ensures only one writer at a time."
[00:43:16.337] [W4] wrote: "Mutual exclusion ensures only one writer at a time."
[00:43:16.350] [R5] read: "Mutual exclusion ensures only one writer at a time."
[00:43:16.352] [R2] read: "Mutual exclusion ensures only one writer at a time."
[00:43:16.356] [W3] wrote: "Mutual exclusion ensures only one writer at a time."
[00:43:16.360] [W6] wrote: "Race!"
[00:43:16.366] [R3] read: "Race!"
[00:43:16.373] [R4] read: "Race!"
[00:43:16.376] [W2] wrote: "Mutual exclusion ensures only one writer at a time."
[00:43:16.383] [R5] read: "Mutual exclusion ensures only one writer at a time."
[00:43:16.385] [R1] read: "Mutual exclusion ensures only one writer at a time."
[00:43:16.388] [W8] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[00:43:16.392] [W3] wrote: "Pthread library provides powerful threading primitives."
[00:43:16.410] [W1] wrote: "Race!"
[00:43:16.410] [R2] read: "Race!"
[00:43:16.412] [R5] read: "Race!"
[00:43:16.412] [R3] read: "Race!"
[00:43:16.412] [W5] wrote: "Pthread library provides powerful threading primitives."
[00:43:16.425] [W7] wrote: "Mutual exclusion ensures only one writer at a time."
[00:43:16.427] [R1] read: "Mutual exclusion ensures only one writer at a time."
[00:43:16.432] [R4] read: "Mutual exclusion ensures only one writer at a time."
