=== Shared String - Reader-Writer Problem ===
Mode: reader_pref
Readers: 5, Writers: 8, Duration: 8 seconds

[22:41:57.166] [R1] started
[22:41:57.166] [R1] read: "Initial string content."
[22:41:57.166] [R4] started
[22:41:57.166] [R4] read: "Initial string content."
[22:41:57.166] [R2] started
[22:41:57.166] [R2] read: "Initial string content."
[22:41:57.166] [W2] started
[22:41:57.166] [W2] wrote: "A"
[22:41:57.166] [R3] started
[22:41:57.166] [W1] started
[22:41:57.166] [W1] wrote: "A"
[22:41:57.166] [R5] started
[22:41:57.166] [R5] read: "A"
[22:41:57.166] [R3] read: "A"
[22:41:57.166] [W3] started
[22:41:57.166] [W3] wrote: "A"
[22:41:57.166] [W4] started
[22:41:57.166] [W4] wrote: "A"
[22:41:57.166] [W5] started
[22:41:57.166] [W5] wrote: "A"
[22:41:57.166] [W6] started
[22:41:57.166] [W6] wrote: "A"
[22:41:57.166] [W7] started
[22:41:57.166] [W7] wrote: "A"
[22:41:57.166] [W8] started
[22:41:57.166] [W8] wrote: "A"
[22:41:57.188] [R1] read: "A"
[22:41:57.196] [R4] read: "A"
[22:41:57.196] [R3] read: "A"
[22:41:57.200] [W3] wrote: "Hello World!"
[22:41:57.203] [R5] read: "Hello World!"
[22:41:57.203] [W4] wrote: "Hello World!"
[22:41:57.207] [W2] wrote: "Hello World!"
[22:41:57.217] [R1] read: "Hello World!"
[22:41:57.217] [W8] wrote: "Hello World!"
[22:41:57.219] [R2] read: "Hello World!"
[22:41:57.230] [R3] read: "Hello World!"
[22:41:57.231] [W6] wrote: "Hello World!"
[22:41:57.236] [R4] read: "Hello World!"
[22:41:57.242] [R5] read: "Hello World!"
[22:41:57.246] [W1] wrote: "Hello World!"
[22:41:57.250] [R3] read: "Hello World!"
[22:41:57.256] [W7] wrote: "Hello World!"
[22:41:57.261] [W5] wrote: "Hello World!"
[22:41:57.264] [R1] read: "Hello World!"
[22:41:57.264] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:57.269] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:41:57.274] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:57.275] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:41:57.278] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:41:57.285] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:57.286] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:41:57.289] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:57.289] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:57.301] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:41:57.304] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:41:57.315] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:41:57.317] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:41:57.334] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:57.334] [W8] wrote: "Operating systems manage hardware and software resources."
[22:41:57.335] [R3] read: "Operating systems manage hardware and software resources."
[22:41:57.336] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:57.336] [W3] wrote: "Operating systems manage hardware and software resources."
[22:41:57.343] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:57.347] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:41:57.348] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:41:57.349] [W2] wrote: "Operating systems manage hardware and software resources."
[22:41:57.351] [W6] wrote: "Operating systems manage hardware and software resources."
[22:41:57.361] [R1] read: "Operating systems manage hardware and software resources."
[22:41:57.364] [R5] read: "Operating systems manage hardware and software resources."
[22:41:57.364] [R3] read: "Operating systems manage hardware and software resources."
[22:41:57.377] [W4] wrote: "Operating systems manage hardware and software resources."
[22:41:57.381] [R4] read: "Operating systems manage hardware and software resources."
[22:41:57.388] [R3] read: "Operating systems manage hardware and software resources."
[22:41:57.393] [R2] read: "Operating systems manage hardware and software resources."
[22:41:57.395] [R1] read: "Operating systems manage hardware and software resources."
[22:41:57.400] [R5] read: "Operating systems manage hardware and software resources."
[22:41:57.402] [W6] wrote: "X"
[22:41:57.405] [W1] wrote: "Operating systems manage hardware and software resources."
[22:41:57.407] [W2] wrote: "X"
[22:41:57.415] [W3] wrote: "X"
[22:41:57.416] [R2] read: "X"
[22:41:57.422] [W7] wrote: "Operating systems manage hardware and software resources."
[22:41:57.425] [R1] read: "Operating systems manage hardware and software resources."
[22:41:57.425] [W5] wrote: "Operating systems manage hardware and software resources."
[22:41:57.430] [R3] read: "Operating systems manage hardware and software resources."
[22:41:57.431] [R5] read: "Operating systems manage hardware and software resources."
[22:41:57.431] [W8] wrote: "X"
[22:41:57.432] [R4] read: "X"
[22:41:57.447] [W4] wrote: "X"
[22:41:57.451] [W3] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:41:57.458] [W7] wrote: "X"
[22:41:57.466] [R2] read: "X"
[22:41:57.469] [R1] read: "X"
[22:41:57.470] [W6] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:41:57.473] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:41:57.475] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[22:41:57.478] [W1] wrote: "X"
[22:41:57.482] [W2] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:41:57.486] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[22:41:57.489] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[22:41:57.498] [W5] wrote: "X"
[22:41:57.502] [R1] read: "X"
[22:41:57.503] [W8] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:41:57.506] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[22:41:57.518] [W3] wrote: "Readers and writers must coordinate access to shared data."
[22:41:57.522] [R5] read: "Readers and writers must coordinate access to shared data."
[22:41:57.523] [W4] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:41:57.524] [W7] wrote: "Synchronization prevents race conditions in concurrent programs."
