=== Shared String - Reader-Writer Problem ===
Mode: vanilla
Readers: 5, Writers: 8, Duration: 8 seconds
⚠️  WARNING: Vanilla mode - expect to see TORN READS (corrupted strings)!

[22:41:24.832] [R1] started
[22:41:24.832] [R1] read: "Initial string content."
[22:41:24.832] [R2] started
[22:41:24.832] [R2] read: "Initial string content."
[22:41:24.832] [R4] started
[22:41:24.832] [R4] read: "Initial string content."
[22:41:24.832] [R3] started
[22:41:24.832] [R3] read: "Initial string content."
[22:41:24.832] [R5] started
[22:41:24.832] [R5] read: "Initial string content."
[22:41:24.832] [W2] started
[22:41:24.832] [W1] started
[22:41:24.832] [W4] started
[22:41:24.833] [W6] started
[22:41:24.833] [W5] started
[22:41:24.833] [W3] started
[22:41:24.833] [W8] started
[22:41:24.833] [W7] started
[22:41:24.833] [W2] wrote: "A"
[22:41:24.833] [W1] wrote: "A"
[22:41:24.833] [W4] wrote: "A"
[22:41:24.833] [W6] wrote: "A"
[22:41:24.833] [W5] wrote: "A"
[22:41:24.833] [W7] wrote: "A"
[22:41:24.833] [W8] wrote: "A"
[22:41:24.833] [W3] wrote: "A"
[22:41:24.853] [R1] read: "A"
[22:41:24.864] [R4] read: "A"
[22:41:24.871] [R2] read: "A"
[22:41:24.880] [R3] read: "A"
[22:41:24.890] [R5] read: "Helloal string content."
[22:41:24.892] [W7] wrote: "Hello World!"
[22:41:24.895] [R4] read: "Hello World!"
[22:41:24.896] [W1] wrote: "Hello World!"
[22:41:24.899] [R1] read: "Hello World!"
[22:41:24.906] [R2] read: "Hello World!"
[22:41:24.907] [R3] read: "Hello World!"
[22:41:24.907] [W5] wrote: "Hello World!"
[22:41:24.912] [W6] wrote: "Hello World!"
[22:41:24.912] [W8] wrote: "Hello World!"
[22:41:24.928] [W2] wrote: "Hello World!"
[22:41:24.929] [R1] read: "Hello World!"
[22:41:24.933] [W4] wrote: "Hello World!"
[22:41:24.934] [W3] wrote: "Hello World!"
[22:41:24.944] [R5] read: "The quick brown fox jumps over "
[22:41:24.946] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:24.946] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:41:24.947] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:41:24.954] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:41:24.958] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:24.967] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:41:24.972] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:24.974] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:41:24.983] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:41:24.988] [R2] read: "The quick brownms manumps over the lazy dog."
[22:41:24.992] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:24.993] [W7] wrote: "Operating systems manage hardware and software resources."
[22:41:24.997] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:24.997] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:24.998] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:41:25.000] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:41:25.009] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:25.011] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:41:25.014] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[22:41:25.022] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:41:25.024] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:41:25.032] [R3] read: "Operating systems managps over the lazy dog."
[22:41:25.037] [W8] wrote: "Operating systems manage hardware and software resources."
[22:41:25.040] [R2] read: "Operating systems manage hardware and software resources."
[22:41:25.050] [W7] wrote: "X"
[22:41:25.051] [W1] wrote: "Operating systems manage hardware and software resources."
[22:41:25.055] [R4] read: "X"
[22:41:25.065] [R5] read: "Operating systems manage hardware and software resources."
[22:41:25.066] [W3] wrote: "Operating systems manage hardware and software resources."
[22:41:25.068] [W8] wrote: "X"
[22:41:25.068] [R3] read: "X"
[22:41:25.071] [R1] read: "Operating systems manage hardware and software resources."
[22:41:25.077] [W6] wrote: "Operating systems manage hardware and software resources."
[22:41:25.083] [R2] read: "Operating systems manage hardware and software resources."
[22:41:25.083] [W4] wrote: "Operating systems manage hardware and software resources."
[22:41:25.087] [R5] read: "Operating systems manage hardware and software resources."
[22:41:25.091] [W1] wrote: "X"
[22:41:25.095] [W2] wrote: "Operating systems manage hardware and software resources."
[22:41:25.102] [R4] read: "Operating systems manage hardware and software resources."
[22:41:25.109] [R5] read: "Operating systems manage hardware and software resources."
[22:41:25.110] [W5] wrote: "Operating systems manage hardware and software resources."
[22:41:25.111] [R3] read: "Operating systems manage hardware and software resources."
[22:41:25.124] [R1] read: "Synchronizationms manage hardware and software resources."
[22:41:25.129] [R4] read: "Synchronization prevents race conditions in conresources."
[22:41:25.132] [W7] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:41:25.133] [W4] wrote: "X"
[22:41:25.134] [R2] read: "X"
[22:41:25.136] [R5] read: "X"
[22:41:25.145] [W6] wrote: "X"
[22:41:25.146] [W2] wrote: "X"
[22:41:25.153] [R1] read: "X"
[22:41:25.157] [W5] wrote: "X"
[22:41:25.161] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:41:25.166] [W3] wrote: "X"
[22:41:25.167] [R5] read: "X"
[22:41:25.168] [W8] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:41:25.168] [W1] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:41:25.185] [R4] read: "X"
[22:41:25.185] [R3] read: "X"
[22:41:25.186] [R2] read: "X"
[22:41:25.199] [W4] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:41:25.204] [W2] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:41:25.213] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:41:25.224] [R2] read: "Syncers and writers must coordinate access to shared daprograms."
[22:41:25.225] [W7] wrote: "Readers and writers must coordinate access to shared data."
[22:41:25.226] [R5] read: "Synchronization prs must coordinate access to shared data."
[22:41:25.232] [R4] read: "Synchronization prevents race conditions in concurrent ta."
[22:41:25.234] [W5] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:41:25.237] [R3] read: "Readers and writersvents race conditions in concurrent programs."
[22:41:25.241] [W6] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:41:25.243] [R1] read: "Readers and writers must coordinate access to shared dataograms."
[22:41:25.244] [W8] wrote: "Readers and writers must coordinate access to shared data."
[22:41:25.244] [W3] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:41:25.244] [R2] read: "Readers and writers must coordinate access to shared data."
[22:41:25.256] [R4] read: "Readers and writers must coordinate access to shared data."
[22:41:25.256] [W1] wrote: "Readers and writers must coordinate access to shared data."
[22:41:25.263] [R1] read: "Readers and writers must coordinate access to shared data."
[22:41:25.276] [R2] read: "Readers and writers must coordinate access to shared data."
[22:41:25.278] [R5] read: "Readers and writers must coordinate access to shared data."
[22:41:25.286] [W2] wrote: "Readers and writers must coordinate access to shared data."
[22:41:25.292] [R3] read: "Readers and writers must coordinate access to shared data."
[22:41:25.299] [R5] read: "Readers and writers must coordinate access to shared data."
[22:41:25.304] [W4] wrote: "Readers and writers must coordinate access to shared data."
[22:41:25.311] [W7] wrote: "Race!"
[22:41:25.314] [R4] read: "Race!"
[22:41:25.319] [R1] read: "Readers and writers must coordinate access to shared data."
[22:41:25.321] [R5] read: "Readers and writers must coordinate access to shared data."
[22:41:25.326] [R2] read: "Readers and writers must coordinate access to shared data."
[22:41:25.326] [W5] wrote: "Readers and writers must coordinate access to shared data."
[22:41:25.329] [R3] read: "Readers and writers must coordinate access to shared data."
[22:41:25.330] [W1] wrote: "Race!"
[22:41:25.332] [W6] wrote: "Readers and writers must coordinate access to shared data."
[22:41:25.339] [W2] wrote: "Race!"
[22:41:25.340] [W8] wrote: "Race!"
[22:41:25.342] [W3] wrote: "Readers and writers must coordinate access to shared data."
[22:41:25.343] [R1] read: "Race!"
[22:41:25.345] [R4] read: "Race!"
[22:41:25.355] [R5] read: "Race!"
[22:41:25.356] [R3] read: "Race!"
[22:41:25.366] [R2] read: "Mutual exclusion ensures only one e access to shared data."
[22:41:25.368] [R4] read: "Mutual exclusion ensures only one writer at a shared data."
[22:41:25.368] [W1] wrote: "Mutual exclusion ensures only one writer at a time."
[22:41:25.394] [R1] read: "Mutual exclusion ensures only one writer at a time."
[22:41:25.394] [W4] wrote: "Race!"
