=== Shared String - Reader-Writer Problem ===
Mode: writer_pref
Readers: 5, Writers: 8, Duration: 8 seconds

[22:42:29.476] [R2] started
[22:42:29.476] [R2] read: "Initial string content."
[22:42:29.476] [R4] started
[22:42:29.476] [R4] read: "Initial string content."
[22:42:29.476] [R3] started
[22:42:29.476] [R3] read: "Initial string content."
[22:42:29.476] [R5] started
[22:42:29.476] [R5] read: "Initial string content."
[22:42:29.476] [W3] started
[22:42:29.476] [W3] wrote: "A"
[22:42:29.476] [W1] started
[22:42:29.476] [W1] wrote: "A"
[22:42:29.476] [W4] started
[22:42:29.476] [W4] wrote: "A"
[22:42:29.476] [W5] started
[22:42:29.476] [W5] wrote: "A"
[22:42:29.476] [W7] started
[22:42:29.476] [W7] wrote: "A"
[22:42:29.476] [R1] started
[22:42:29.476] [R1] read: "A"
[22:42:29.476] [W6] started
[22:42:29.476] [W8] started
[22:42:29.476] [W6] wrote: "A"
[22:42:29.476] [W2] started
[22:42:29.476] [W8] wrote: "A"
[22:42:29.476] [W2] wrote: "A"
[22:42:29.497] [R1] read: "A"
[22:42:29.515] [R3] read: "A"
[22:42:29.517] [W4] wrote: "Hello World!"
[22:42:29.523] [R5] read: "Hello World!"
[22:42:29.523] [W8] wrote: "Hello World!"
[22:42:29.525] [R2] read: "Hello World!"
[22:42:29.525] [W7] wrote: "Hello World!"
[22:42:29.530] [R1] read: "Hello World!"
[22:42:29.532] [W2] wrote: "Hello World!"
[22:42:29.534] [R4] read: "Hello World!"
[22:42:29.534] [W5] wrote: "Hello World!"
[22:42:29.546] [W1] wrote: "Hello World!"
[22:42:29.552] [R3] read: "Hello World!"
[22:42:29.554] [R5] read: "Hello World!"
[22:42:29.557] [W3] wrote: "Hello World!"
[22:42:29.558] [W6] wrote: "Hello World!"
[22:42:29.561] [R1] read: "Hello World!"
[22:42:29.568] [R4] read: "Hello World!"
[22:42:29.571] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:29.571] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:29.573] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:42:29.575] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[22:42:29.579] [W4] wrote: "The quick brown fox jumps over the lazy dog."
