=== Shared String - Reader-Writer Problem ===
Mode: vanilla
Readers: 5, Writers: 8, Duration: 8 seconds
⚠️  WARNING: Vanilla mode - expect to see TORN READS (corrupted strings)!

[00:42:43.529] [R1] started
[00:42:43.530] [R1] read: "Initial string content."
[00:42:43.530] [R2] started
[00:42:43.530] [R2] read: "Initial string content."
[00:42:43.530] [R4] started
[00:42:43.530] [R4] read: "Initial string content."
[00:42:43.530] [W2] started
[00:42:43.530] [W1] started
[00:42:43.530] [R3] started
[00:42:43.530] [R3] read: "Anitial string content."
[00:42:43.530] [W4] started
[00:42:43.530] [W3] started
[00:42:43.530] [W6] started
[00:42:43.530] [R5] started
[00:42:43.530] [R5] read: "A"
[00:42:43.530] [W5] started
[00:42:43.530] [W7] started
[00:42:43.530] [W1] wrote: "A"
[00:42:43.530] [W2] wrote: "A"
[00:42:43.530] [W8] started
[00:42:43.530] [W4] wrote: "A"
[00:42:43.530] [W3] wrote: "A"
[00:42:43.530] [W6] wrote: "A"
[00:42:43.530] [W5] wrote: "A"
[00:42:43.530] [W7] wrote: "A"
[00:42:43.530] [W8] wrote: "A"
[00:42:43.554] [R3] read: "A"
[00:42:43.555] [R4] read: "A"
[00:42:43.567] [R1] read: "A"
[00:42:43.574] [R5] read: "Hello l string content."
[00:42:43.575] [W5] wrote: "Hello World!"
[00:42:43.578] [R2] read: "Hello World!"
[00:42:43.588] [W2] wrote: "Hello World!"
[00:42:43.594] [W3] wrote: "Hello World!"
[00:42:43.595] [R5] read: "Hello World!"
[00:42:43.596] [W8] wrote: "Hello World!"
[00:42:43.600] [R2] read: "Hello World!"
[00:42:43.601] [R3] read: "Hello World!"
[00:42:43.607] [R4] read: "Hello World!"
[00:42:43.612] [W6] wrote: "Hello World!"
[00:42:43.619] [R1] read: "Hello World!"
[00:42:43.627] [R5] read: "Hello World!"
[00:42:43.630] [W7] wrote: "Hello World!"
[00:42:43.632] [R2] read: "Hello World!"
[00:42:43.632] [W1] wrote: "Hello World!"
[00:42:43.632] [W4] wrote: "Hello World!"
[00:42:43.644] [R4] read: "Hello World!"
[00:42:43.649] [R3] read: "The quick brown fox nt."
[00:42:43.653] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:43.667] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:43.669] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:43.669] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:43.670] [R4] read: "The quick brown fox jumps over the lazy dog."
[00:42:43.673] [R1] read: "The quick brown fox jumps over the lazy dog."
[00:42:43.681] [R5] read: "The quick brown fox jumps over the lazy dog."
[00:42:43.686] [R3] read: "The quick brown fox jumps over the lazy dog."
[00:42:43.687] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:43.691] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:43.691] [R2] read: "The quick brown fox jumps over the lazy dog."
[00:42:43.702] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:43.711] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[00:42:43.714] [R2] read: "Operating brown fox jumps over the lazy dog."
[00:42:43.715] [R1] read: "Operating systn fox jumps over the lazy dog."
[00:42:43.718] [R3] read: "Operating systems manage hardware anazy dog."
[00:42:43.722] [W3] wrote: "Operating systems manage hardware and software resources."
[00:42:43.725] [R4] read: "Operating systems manage hardware and software resources."
[00:42:43.739] [R5] read: "Operating systems manage hardware and software resources."
[00:42:43.747] [W5] wrote: "Operating systems manage hardware and software resources."
[00:42:43.750] [R3] read: "Operating systems manage hardware and software resources."
[00:42:43.752] [R2] read: "Operating systems manage hardware and software resources."
[00:42:43.753] [W3] wrote: "X"
[00:42:43.753] [R4] read: "X"
[00:42:43.755] [W6] wrote: "Operating systems manage hardware and software resources."
[00:42:43.755] [W8] wrote: "Operating systems manage hardware and software resources."
[00:42:43.762] [W2] wrote: "Operating systems manage hardware and software resources."
[00:42:43.767] [W7] wrote: "Operating systems manage hardware and software resources."
[00:42:43.770] [R1] read: "Operating systems manage hardware and software resources."
[00:42:43.776] [W4] wrote: "Operating systems manage hardware and software resources."
[00:42:43.779] [R2] read: "Operating systems manage hardware and software resources."
[00:42:43.788] [W8] wrote: "X"
[00:42:43.788] [R5] read: "X"
[00:42:43.795] [W3] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:42:43.797] [R1] read: "X"
[00:42:43.805] [R4] read: "Operating systems manage hardware and software rurrent programs."
[00:42:43.806] [W2] wrote: "X"
[00:42:43.807] [W1] wrote: "Operating systems manage hardware and software resources."
[00:42:43.807] [R3] read: "X"
[00:42:43.819] [R1] read: "Synchrong systems manage hardware and software resources."
[00:42:43.828] [W8] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:42:43.828] [W5] wrote: "X"
[00:42:43.830] [R2] read: "X"
[00:42:43.838] [R5] read: "X"
[00:42:43.838] [W1] wrote: "X"
[00:42:43.848] [W6] wrote: "X"
[00:42:43.850] [W4] wrote: "X"
[00:42:43.850] [R4] read: "X"
[00:42:43.853] [W7] wrote: "X"
[00:42:43.856] [R1] read: "X"
[00:42:43.860] [R2] read: "X"
[00:42:43.866] [R3] read: "Readeronization prevents race conditions in concurrent programs."
[00:42:43.868] [R5] read: "Readers and writersvents race conditions in concurrent programs."
[00:42:43.874] [W8] wrote: "Readers and writers must coordinate access to shared data."
[00:42:43.888] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[00:42:43.889] [W5] wrote: "Synchronization prevents race conditions in concurrent programs."
[00:42:43.889] [R2] read: "Synchronization prevents race conditions in concurrent programs."
