=== Shared String - Reader-Writer Problem ===
Mode: writer_pref
Readers: 5, Writers: 8, Duration: 8 seconds

[00:43:40.056] [R2] started
[00:43:40.056] [R2] read: "Initial string content."
[00:43:40.056] [R1] started
[00:43:40.056] [R1] read: "Initial string content."
[00:43:40.056] [R5] started
[00:43:40.056] [R5] read: "Initial string content."
[00:43:40.056] [R4] started
[00:43:40.056] [R4] read: "Initial string content."
[00:43:40.056] [R3] started
[00:43:40.056] [R3] read: "Initial string content."
[00:43:40.056] [W2] started
[00:43:40.056] [W2] wrote: "A"
[00:43:40.056] [W1] started
[00:43:40.056] [W1] wrote: "A"
[00:43:40.056] [W3] started
[00:43:40.056] [W3] wrote: "A"
[00:43:40.056] [W4] started
[00:43:40.056] [W4] wrote: "A"
[00:43:40.056] [W6] started
[00:43:40.056] [W6] wrote: "A"
[00:43:40.056] [W5] started
[00:43:40.056] [W5] wrote: "A"
[00:43:40.056] [W7] started
[00:43:40.056] [W7] wrote: "A"
[00:43:40.056] [W8] started
[00:43:40.056] [W8] wrote: "A"
[00:43:40.082] [R5] read: "A"
[00:43:40.083] [R4] read: "A"
[00:43:40.090] [W2] wrote: "Hello World!"
[00:43:40.092] [R1] read: "Hello World!"
[00:43:40.096] [R2] read: "Hello World!"
[00:43:40.100] [R3] read: "Hello World!"
[00:43:40.104] [W1] wrote: "Hello World!"
[00:43:40.104] [W8] wrote: "Hello World!"
[00:43:40.109] [W5] wrote: "Hello World!"
[00:43:40.110] [W6] wrote: "Hello World!"
[00:43:40.119] [R5] read: "Hello World!"
[00:43:40.121] [W7] wrote: "Hello World!"
[00:43:40.123] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[00:43:40.129] [R1] read: "The quick brown fox jumps over the lazy dog."
[00:43:40.134] [R4] read: "The quick brown fox jumps over the lazy dog."
[00:43:40.144] [R2] read: "The quick brown fox jumps over the lazy dog."
[00:43:40.152] [R3] read: "The quick brown fox jumps over the lazy dog."
